Source File: D:\Storage\Programs\OOI\Group 5\Correspondence\07_18_14 sample files\files\11079364.WC
Processed: 07/18/2014 17:47:40
Using Version: 1.11
Device: HMR
Start Date: 04/17/2014
Timestamp (s)	Depth (dbar)	Suspect Timestamp	Heading (deg)	Pitch (deg)	Roll (deg)
1397774165.052	11.997	n	104.3	-0.5	-8.5
1397774165.166	12.031	n	103.4	-0.5	-8.5
1397774165.290	12.060	n	103.0	-0.5	-8.5
1397774165.414	12.087	n	103.6	-0.6	-8.5
1397774165.535	12.114	n	104.3	-0.6	-8.4
1397774165.640	12.144	n	104.1	-0.7	-8.4
1397774165.758	12.171	n	103.2	-0.8	-8.4
1397774165.877	12.182	n	102.7	-0.8	-8.3
1397774165.995	12.210	n	102.8	-0.8	-8.2
1397774166.114	12.237	n	103.6	-0.8	-8.1
1397774166.239	12.263	n	104.3	-0.9	-8.1
1397774166.372	12.287	n	104.4	-0.9	-8.0
1397774166.478	12.310	n	103.9	-0.8	-7.9
1397774166.598	12.337	n	103.3	-0.8	-7.9
1397774166.706	12.353	n	102.9	-0.8	-7.8
1397774166.825	12.379	n	102.7	-0.7	-7.7
1397774166.943	12.384	n	102.8	-0.7	-7.7
1397774167.062	12.409	n	103.0	-0.6	-7.6
1397774167.182	12.426	n	103.2	-0.6	-7.6
1397774167.303	12.444	n	103.4	-0.6	-7.5
1397774167.434	12.464	n	103.5	-0.6	-7.4
1397774167.541	12.483	n	103.6	-0.6	-7.4
1397774167.663	12.501	n	103.4	-0.5	-7.4
1397774167.785	12.520	n	103.2	-0.4	-7.3
1397774167.891	12.531	n	103.2	-0.4	-7.3
1397774168.010	12.546	n	103.1	-0.3	-7.2
1397774168.149	12.559	y	103.1	-0.3	-7.2
1397774168.248	12.568	n	103.0	-0.3	-7.1
1397774168.373	12.585	n	103.0	-0.1	-7.0
1397774168.489	12.600	n	103.4	0.0	-6.9
1397774168.613	12.609	n	103.8	0.0	-6.9
1397774168.728	12.627	n	104.3	0.1	-6.8
1397774168.847	12.643	n	104.8	0.2	-6.7
1397774168.972	12.660	n	104.9	0.4	-6.6
1397774169.080	12.675	n	104.9	0.5	-6.5
1397774169.197	12.691	n	104.8	0.7	-6.4
1397774169.317	12.702	n	104.7	0.7	-6.4
1397774169.435	12.719	n	104.5	0.8	-6.3
1397774169.553	12.741	n	104.2	0.9	-6.2
1397774169.677	12.761	n	104.1	1.0	-6.2
1397774169.790	12.779	n	104.1	1.1	-6.1
1397774169.912	12.801	n	104.1	1.2	-6.0
1397774170.036	12.821	n	104.2	1.3	-6.0
1397774170.142	12.846	n	104.3	1.4	-5.9
1397774170.263	12.867	n	104.6	1.5	-6.0
1397774170.379	12.886	n	104.9	1.5	-6.0
1397774170.497	12.909	n	105.1	1.6	-6.0
1397774170.616	12.932	n	105.0	1.7	-6.1
1397774170.739	12.959	n	104.6	1.8	-6.3
1397774170.853	12.987	n	104.1	1.9	-6.3
1397774170.973	13.014	n	103.5	2.0	-6.4
1397774171.098	13.043	n	103.5	2.0	-6.5
1397774171.205	13.076	n	104.2	2.1	-6.6
1397774171.325	13.105	n	104.9	2.2	-6.7
1397774171.441	13.121	n	104.7	2.2	-6.8
1397774171.560	13.156	n	103.7	2.3	-6.9
1397774171.678	13.193	n	103.6	2.4	-7.0
1397774171.802	13.231	n	104.7	2.5	-7.1
1397774171.915	13.271	n	104.8	2.7	-7.2
1397774172.036	13.309	n	103.9	2.8	-7.4
1397774172.160	13.349	n	104.2	2.9	-7.5
1397774172.268	13.387	n	104.7	3.0	-7.6
1397774172.385	13.430	n	104.0	2.9	-7.8
1397774172.503	13.470	n	104.3	2.8	-7.8
1397774172.621	13.489	n	104.7	2.8	-7.8
1397774172.740	13.529	n	104.2	2.9	-7.9
1397774172.864	13.568	n	104.4	2.9	-8.0
1397774172.977	13.606	n	104.2	2.7	-8.2
1397774173.140	13.644	y	104.3	2.5	-8.2
1397774173.210	13.685	n	104.4	2.5	-8.1
1397774173.327	13.726	n	104.1	2.5	-8.1
1397774173.446	13.744	n	104.1	2.4	-8.3
1397774173.565	13.783	n	104.2	2.1	-8.4
1397774173.682	13.827	n	104.4	1.9	-8.3
1397774173.802	13.869	n	103.8	2.0	-8.0
1397774173.927	13.903	n	104.0	2.0	-7.9
1397774174.036	13.943	n	103.6	1.7	-8.2
1397774174.158	13.982	n	103.9	1.5	-8.2
1397774174.285	14.018	n	103.7	1.5	-7.9
1397774174.392	14.056	n	103.3	1.6	-7.7
1397774174.509	14.089	n	103.6	1.4	-7.7
1397774174.627	14.110	n	102.9	1.1	-7.9
1397774174.745	14.143	n	102.9	0.9	-7.7
1397774174.864	14.182	n	103.3	0.9	-7.5
1397774174.989	14.214	n	102.3	0.8	-7.4
1397774175.101	14.247	n	102.2	0.7	-7.4
1397774175.223	14.279	n	102.7	0.5	-7.6
1397774175.348	14.305	n	101.8	0.2	-7.5
1397774175.471	14.335	n	101.9	0.0	-7.4
1397774175.576	14.361	n	102.1	-0.1	-7.3
1397774175.696	14.390	n	101.1	-0.1	-7.2
1397774175.812	14.402	n	101.0	-0.3	-7.3
1397774175.933	14.430	n	101.7	-0.5	-7.4
1397774176.049	14.450	n	100.9	-0.7	-7.4
1397774176.178	14.475	n	100.1	-0.8	-7.4
1397774176.303	14.497	n	100.7	-0.9	-7.3
1397774176.405	14.518	n	101.0	-1.0	-7.2
1397774176.533	14.537	n	100.1	-1.0	-7.3
1397774176.637	14.558	n	99.4	-1.0	-7.3
1397774176.755	14.582	n	100.0	-1.1	-7.3
1397774176.874	14.587	n	100.2	-1.2	-7.3
1397774176.989	14.602	n	99.2	-1.3	-7.2
1397774177.103	14.621	n	98.5	-1.3	-7.1
1397774177.220	14.637	n	99.0	-1.3	-7.1
1397774177.345	14.654	n	99.7	-1.3	-7.0
1397774177.449	14.669	n	99.0	-1.3	-6.9
1397774177.565	14.680	n	98.2	-1.3	-6.8
1397774177.679	14.698	n	98.3	-1.3	-6.6
1397774177.802	14.713	n	99.0	-1.3	-6.5
1397774177.910	14.721	n	99.3	-1.3	-6.4
1397774178.032	14.740	y	98.8	-1.3	-6.2
1397774178.375	14.761	n	97.3	-1.1	-5.9
1397774178.488	14.773	n	97.9	-1.0	-5.8
1397774178.600	14.779	n	98.6	-0.9	-5.7
1397774178.720	14.791	n	98.8	-0.8	-5.6
1397774178.830	14.799	n	98.6	-0.7	-5.6
1397774178.945	14.810	n	98.1	-0.7	-5.5
1397774179.059	14.815	n	97.6	-0.7	-5.5
1397774179.176	14.825	n	97.0	-0.7	-5.4
1397774179.290	14.832	n	96.9	-0.7	-5.4
1397774179.417	14.841	n	97.2	-0.7	-5.5
1397774179.533	14.856	n	97.9	-0.7	-5.6
1397774179.635	14.874	n	98.4	-0.7	-5.7
1397774179.752	14.881	n	98.1	-0.7	-5.7
1397774179.865	14.898	n	97.2	-0.7	-5.8
1397774179.989	14.917	n	96.7	-0.7	-6.0
1397774180.096	14.937	n	97.3	-0.6	-6.3
1397774180.211	14.952	n	98.2	-0.6	-6.5
1397774180.328	14.971	n	98.1	-0.5	-6.6
1397774180.444	14.986	n	97.1	-0.4	-6.7
1397774180.559	15.007	n	97.2	-0.4	-6.8
1397774180.677	15.026	n	98.3	-0.4	-7.0
1397774180.789	15.051	n	98.2	-0.4	-7.1
1397774180.908	15.076	n	97.3	-0.3	-7.2
1397774181.033	15.101	n	97.9	-0.2	-7.4
1397774181.135	15.134	n	98.4	0.0	-7.5
1397774181.252	15.147	n	97.7	0.2	-7.6
1397774181.366	15.177	n	98.2	0.3	-7.8
1397774181.489	15.213	n	98.5	0.4	-7.9
1397774181.596	15.251	n	98.1	0.4	-8.0
1397774181.720	15.286	n	98.6	0.5	-8.0
1397774181.825	15.329	n	98.2	0.7	-8.1
1397774181.940	15.344	n	98.5	0.8	-8.2
1397774182.055	15.388	n	98.5	0.8	-8.4
1397774182.177	15.435	n	98.5	0.8	-8.4
1397774182.285	15.479	n	98.7	1.0	-8.3
1397774182.414	15.529	n	98.6	1.1	-8.4
1397774182.514	15.574	n	98.7	1.2	-8.5
1397774182.629	15.597	n	98.6	1.1	-8.6
1397774182.745	15.648	n	98.7	1.4	-8.4
1397774182.864	15.700	n	98.7	1.7	-8.4
1397774182.973	15.749	n	98.6	1.6	-8.6
1397774183.095	15.795	n	98.5	1.5	-8.6
1397774183.208	15.821	y	98.7	1.7	-8.4
1397774183.317	15.903	n	98.1	1.9	-8.4
1397774183.434	15.928	n	98.8	1.8	-8.6
1397774183.552	15.977	n	99.0	1.8	-8.6
1397774183.661	16.033	n	97.6	2.2	-8.3
1397774183.782	16.086	n	97.3	2.1	-8.5
1397774183.890	16.140	n	98.0	2.1	-8.6
1397774184.004	16.167	n	98.5	2.2	-8.3
1397774184.121	16.223	n	98.7	2.0	-8.5
1397774184.241	16.277	n	97.9	2.1	-8.5
1397774184.349	16.334	n	98.2	2.0	-8.6
1397774184.471	16.390	n	98.2	2.0	-8.5
1397774184.578	16.444	n	96.9	1.9	-8.5
1397774184.693	16.501	n	96.8	1.8	-8.7
1397774184.808	16.527	n	97.9	1.7	-8.7
1397774184.927	16.579	n	97.4	1.5	-8.7
1397774185.037	16.630	n	97.1	1.4	-8.7
1397774185.157	16.681	n	97.1	1.1	-8.9
1397774185.266	16.733	n	97.0	1.1	-8.7
1397774185.382	16.759	n	96.9	1.1	-8.8
1397774185.497	16.804	n	96.8	0.9	-8.8
1397774185.616	16.852	n	97.1	0.8	-8.7
1397774185.726	16.897	n	96.2	0.7	-8.7
1397774185.845	16.940	n	95.9	0.6	-8.6
1397774185.970	16.983	n	96.6	0.3	-8.8
1397774186.071	17.022	n	97.3	0.2	-8.6
1397774186.190	17.045	n	97.6	0.0	-8.6
1397774186.303	17.081	n	96.9	-0.2	-8.7
1397774186.417	17.119	n	97.2	-0.3	-8.6
1397774186.534	17.156	n	97.0	-0.3	-8.6
1397774186.658	17.196	n	97.2	-0.7	-8.6
1397774186.764	17.231	n	97.3	-0.8	-8.4
1397774186.878	17.246	n	97.2	-0.8	-8.3
1397774186.996	17.276	n	97.3	-1.1	-8.4
1397774187.115	17.308	n	97.2	-1.3	-8.4
1397774187.224	17.336	n	97.7	-1.3	-8.1
1397774187.345	17.366	n	97.3	-1.3	-8.0
1397774187.452	17.391	n	97.8	-1.5	-8.1
1397774187.568	17.419	n	97.4	-1.6	-8.0
1397774187.683	17.427	n	97.1	-1.6	-7.7
1397774187.800	17.447	n	98.0	-1.6	-7.5
1397774187.913	17.469	n	97.5	-1.7	-7.5
1397774188.033	17.487	n	97.4	-1.7	-7.4
1397774188.194	17.502	y	98.3	-1.7	-7.2
1397774188.258	17.515	n	98.2	-1.8	-7.1
1397774188.373	17.519	n	97.2	-1.8	-7.0
1397774188.489	17.528	n	97.4	-1.8	-6.9
1397774188.602	17.537	n	98.5	-1.7	-6.8
1397774188.720	17.541	n	98.7	-1.7	-6.7
1397774188.845	17.546	n	98.2	-1.6	-6.6
1397774188.951	17.546	n	97.6	-1.6	-6.4
1397774189.065	17.548	n	97.3	-1.5	-6.3
1397774189.179	17.553	n	97.3	-1.5	-6.1
1397774189.302	17.546	n	97.5	-1.5	-6.0
1397774189.417	17.550	n	97.7	-1.4	-5.9
1397774189.532	17.550	n	97.9	-1.3	-5.8
1397774189.639	17.544	n	98.4	-1.3	-5.8
1397774189.753	17.546	n	98.8	-1.1	-5.7
1397774189.870	17.544	n	99.0	-1.1	-5.6
1397774189.988	17.543	n	99.2	-1.0	-5.6
1397774190.099	17.540	n	99.3	-0.9	-5.5
1397774190.220	17.536	n	99.4	-0.8	-5.5
1397774190.330	17.530	n	99.6	-0.9	-5.5
1397774190.445	17.532	n	99.6	-0.8	-5.5
1397774190.559	17.529	n	99.6	-0.7	-5.5
1397774190.677	17.527	n	99.7	-0.6	-5.5
1397774190.790	17.526	n	99.7	-0.5	-5.5
1397774190.907	17.530	n	99.7	-0.6	-5.7
1397774191.033	17.533	n	99.5	-0.5	-5.8
1397774191.135	17.537	n	99.2	-0.4	-5.8
1397774191.252	17.539	n	98.8	-0.3	-5.8
1397774191.365	17.550	n	98.5	-0.3	-5.9
1397774191.489	17.559	n	98.5	-0.3	-6.0
1397774191.597	17.569	n	98.8	-0.2	-6.2
1397774191.720	17.587	n	99.4	-0.1	-6.3
1397774191.846	17.603	n	100.1	0.1	-6.4
1397774191.952	17.622	n	100.6	0.2	-6.5
1397774192.071	17.645	n	100.6	0.4	-6.6
1397774192.189	17.659	n	100.3	0.5	-6.7
1397774192.302	17.685	n	99.9	0.7	-6.8
1397774192.428	17.715	n	99.6	0.8	-6.9
1397774192.536	17.745	n	100.1	1.0	-7.0
1397774192.658	17.781	n	101.1	1.2	-7.0
1397774192.785	17.815	n	100.9	1.3	-7.1
1397774192.890	17.855	n	100.2	1.5	-7.2
1397774193.009	17.895	n	100.6	1.6	-7.3
1397774193.128	17.918	y	101.6	1.8	-7.4
1397774193.254	17.982	n	101.7	2.0	-7.4
1397774193.364	18.002	n	101.1	2.2	-7.5
1397774193.489	18.049	n	101.7	2.4	-7.6
1397774193.601	18.099	n	102.0	2.5	-7.7
1397774193.720	18.141	n	101.3	2.5	-7.7
1397774193.848	18.191	n	101.9	2.6	-7.7
1397774193.952	18.243	n	102.3	2.8	-7.6
1397774194.071	18.294	n	102.2	3.0	-7.6
1397774194.184	18.322	n	102.5	3.1	-7.7
1397774194.303	18.373	n	102.2	2.9	-7.9
1397774194.434	18.430	n	102.7	2.9	-7.9
1397774194.537	18.485	n	102.9	3.1	-7.6
1397774194.658	18.538	n	102.2	3.3	-7.6
1397774194.761	18.595	n	102.9	3.2	-7.9
1397774194.875	18.624	n	103.6	3.2	-7.8
1397774194.990	18.680	n	102.5	3.5	-7.4
1397774195.115	18.729	n	102.7	3.2	-7.8
1397774195.226	18.787	n	103.7	3.2	-7.8
1397774195.342	18.838	n	103.3	3.5	-7.6
1397774195.448	18.866	n	103.5	3.2	-7.8
1397774195.562	18.916	n	103.8	3.2	-7.8
1397774195.677	18.965	n	103.5	3.2	-7.7
1397774195.790	19.017	n	103.5	3.1	-7.8
1397774195.911	19.064	n	103.8	2.9	-7.9
1397774196.034	19.111	n	103.1	3.0	-7.8
1397774196.145	19.159	n	102.5	2.7	-7.9
1397774196.263	19.203	n	102.4	2.5	-8.0
1397774196.380	19.223	n	102.2	2.7	-7.8
1397774196.497	19.272	n	103.0	2.1	-8.1
1397774196.615	19.309	n	102.4	2.1	-7.8
1397774196.740	19.357	n	102.4	2.1	-7.8
1397774196.865	19.404	n	102.6	1.7	-8.1
1397774196.975	19.440	n	101.5	1.6	-7.9
1397774197.097	19.481	n	102.3	1.3	-8.0
1397774197.207	19.516	n	102.5	1.3	-7.7
1397774197.326	19.553	n	101.4	1.4	-7.6
1397774197.442	19.572	n	101.6	1.0	-7.9
1397774197.560	19.607	n	102.0	1.1	-7.6
1397774197.678	19.643	n	101.3	0.8	-7.6
1397774197.802	19.672	n	100.5	0.6	-7.5
1397774197.915	19.702	n	101.0	0.6	-7.4
1397774198.032	19.729	n	101.4	0.5	-7.3
1397774198.160	19.761	y	100.4	0.5	-7.2
1397774198.285	19.783	n	100.1	0.4	-7.2
1397774198.393	19.804	n	100.8	0.3	-7.1
1397774198.508	19.832	n	100.6	0.2	-7.0
1397774198.624	19.843	n	99.6	0.0	-7.0
1397774198.739	19.862	n	98.8	-0.1	-6.8
1397774198.854	19.883	n	99.3	-0.2	-6.7
1397774198.970	19.902	n	99.9	-0.2	-6.6
1397774199.091	19.922	n	99.2	-0.2	-6.5
1397774199.201	19.945	n	98.3	-0.4	-6.5
1397774199.316	19.953	n	98.7	-0.4	-6.4
1397774199.431	19.966	n	99.2	-0.5	-6.4
1397774199.553	19.988	n	98.3	-0.7	-6.3
1397774199.662	20.006	n	97.4	-0.8	-6.3
1397774199.777	20.027	n	97.7	-0.8	-6.2
1397774199.893	20.044	n	98.6	-0.8	-6.2
1397774200.012	20.053	n	101.3	-0.8	-5.5
1397774200.129	20.059	n	102.1	-1.0	-5.6
1397774200.247	20.073	n	100.7	-1.0	-5.9
1397774200.366	20.084	n	100.4	-0.7	-5.5
1397774200.491	20.097	n	94.9	-0.8	-5.5
1397774200.595	20.109	n	78.1	-0.9	-5.5
