Source File: D:\Storage\Programs\OOI\Group 5\Correspondence\07_18_14 sample files\files\11079364.WC
Processed: 07/18/2014 17:47:39
Using Version: 1.11
Device: SBE
Start Date: 04/17/2014
Timestamp (s)	Suspect Timestamp	Pressure (dbar)	Velocity (m/s)
1397773703.843	n	19.727	-0.216
1397773703.906	n	19.714	-0.216
1397773703.968	n	19.694	-0.230
1397773704.031	n	19.680	-0.230
1397773704.093	n	19.667	-0.228
1397773704.164	n	19.651	-0.231
1397773704.225	n	19.637	-0.231
1397773704.281	n	19.617	-0.244
1397773704.352	n	19.600	-0.247
1397773704.405	n	19.583	-0.252
1397773704.475	n	19.565	-0.255
1397773704.531	n	19.551	-0.252
1397773704.596	n	19.535	-0.252
1397773704.656	n	19.516	-0.258
1397773704.725	n	19.502	-0.253
1397773704.780	n	19.481	-0.264
1397773704.852	n	19.465	-0.263
1397773704.905	n	19.451	-0.260
1397773704.975	n	19.437	-0.255
1397773705.031	n	19.421	-0.256
1397773705.104	n	19.406	-0.253
1397773705.165	n	19.386	-0.261
1397773705.225	n	19.373	-0.255
1397773705.281	n	19.364	-0.242
1397773705.351	n	19.353	-0.233
1397773705.406	n	19.340	-0.230
1397773705.474	n	19.328	-0.226
1397773705.531	n	19.319	-0.216
1397773705.600	n	19.310	-0.208
1397773705.656	n	19.296	-0.210
1397773705.725	n	19.286	-0.204
1397773705.833	y	19.275	-0.200
1397773705.845	n	19.267	-0.192
1397773705.905	n	19.257	-0.188
1397773705.968	n	19.250	-0.178
1397773706.041	n	19.243	-0.169
1397773706.093	n	19.238	-0.158
1397773706.162	n	19.232	-0.149
1397773706.223	n	19.226	-0.144
1397773706.291	n	19.220	-0.137
1397773706.343	n	19.209	-0.142
1397773706.409	n	19.206	-0.130
1397773706.468	n	19.203	-0.120
1397773706.534	n	19.196	-0.120
1397773706.593	n	19.196	-0.106
1397773706.665	n	19.190	-0.103
1397773706.718	n	19.187	-0.098
1397773706.782	n	19.184	-0.092
1397773706.843	n	19.180	-0.088
1397773706.914	n	19.181	-0.076
1397773706.968	n	19.179	-0.070
1397773707.038	n	19.179	-0.062
1397773707.094	n	19.180	-0.052
1397773707.156	n	19.179	-0.048
1397773707.223	n	19.180	-0.040
1397773707.289	n	19.181	-0.034
1397773707.343	n	19.182	-0.028
1397773707.412	n	19.186	-0.016
1397773707.469	n	19.187	-0.012
1397773707.540	n	19.192	0.000
1397773707.593	n	19.194	0.004
1397773707.665	n	19.196	0.008
1397773707.718	n	19.204	0.022
1397773707.787	n	19.209	0.030
1397773707.843	n	19.214	0.036
1397773707.912	n	19.214	0.032
1397773707.968	n	19.217	0.034
1397773708.030	n	19.224	0.044
1397773708.093	n	19.229	0.048
1397773708.168	n	19.235	0.054
1397773708.220	n	19.237	0.052
1397773708.283	n	19.244	0.060
1397773708.343	n	19.251	0.066
1397773708.405	n	19.255	0.066
1397773708.468	n	19.256	0.060
1397773708.531	n	19.259	0.058
1397773708.593	n	19.265	0.062
1397773708.656	n	19.271	0.066
1397773708.718	n	19.278	0.072
1397773708.780	n	19.284	0.074
1397773708.843	n	19.287	0.070
1397773708.905	n	19.289	0.066
1397773708.972	n	19.297	0.074
1397773709.031	n	19.302	0.074
1397773709.101	n	19.307	0.074
1397773709.162	n	19.314	0.078
1397773709.225	n	19.319	0.078
1397773709.281	n	19.323	0.076
1397773709.350	n	19.327	0.074
1397773709.406	n	19.335	0.080
1397773709.477	n	19.341	0.082
1397773709.531	n	19.348	0.086
1397773709.594	n	19.353	0.086
1397773709.656	n	19.359	0.088
1397773709.726	n	19.366	0.090
1397773709.781	n	19.370	0.086
1397773709.843	n	19.375	0.086
1397773709.906	n	19.381	0.088
1397773709.973	n	19.386	0.086
1397773710.031	n	19.388	0.080
1397773710.102	n	19.396	0.086
1397773710.156	n	19.399	0.082
1397773710.219	n	19.405	0.084
1397773710.286	n	19.408	0.080
1397773710.349	n	19.410	0.074
1397773710.406	n	19.411	0.066
1397773710.475	n	19.417	0.070
1397773710.531	n	19.421	0.070
1397773710.597	n	19.421	0.062
1397773710.656	n	19.424	0.060
1397773710.719	n	19.429	0.062
1397773710.780	n	19.427	0.050
1397773710.853	y	19.431	0.052
1397773710.912	n	19.434	0.052
1397773710.968	n	19.436	0.050
1397773711.030	n	19.439	0.050
1397773711.093	n	19.436	0.038
1397773711.156	n	19.435	0.032
1397773711.227	n	19.439	0.036
1397773711.281	n	19.441	0.036
1397773711.343	n	19.441	0.032
1397773711.408	n	19.438	0.022
1397773711.468	n	19.435	0.014
1397773711.539	n	19.435	0.012
1397773711.593	n	19.436	0.012
1397773711.663	n	19.435	0.008
1397773711.719	n	19.433	0.002
1397773711.790	n	19.431	-0.002
1397773711.843	n	19.428	-0.008
1397773711.913	n	19.427	-0.010
1397773711.968	n	19.423	-0.016
1397773712.040	n	19.421	-0.018
1397773712.094	n	19.416	-0.026
1397773712.163	n	19.410	-0.034
1397773712.225	n	19.408	-0.034
1397773712.290	n	19.405	-0.036
1397773712.343	n	19.399	-0.044
1397773712.410	n	19.395	-0.046
1397773712.469	n	19.389	-0.052
1397773712.538	n	19.384	-0.056
1397773712.593	n	19.377	-0.064
1397773712.662	n	19.372	-0.066
1397773712.718	n	19.368	-0.066
1397773712.787	n	19.360	-0.074
1397773712.843	n	19.355	-0.074
1397773712.912	n	19.346	-0.082
1397773712.968	n	19.336	-0.092
1397773713.034	n	19.329	-0.094
1397773713.094	n	19.322	-0.096
1397773713.156	n	19.314	-0.100
1397773713.225	n	19.304	-0.108
1397773713.287	n	19.294	-0.114
1397773713.343	n	19.284	-0.120
1397773713.406	n	19.278	-0.118
1397773713.478	n	19.269	-0.122
1397773713.530	n	19.256	-0.132
1397773713.593	n	19.245	-0.138
1397773713.655	n	19.237	-0.136
1397773713.718	n	19.223	-0.148
1397773713.780	n	19.214	-0.148
1397773713.853	n	19.205	-0.148
1397773713.906	n	19.191	-0.158
1397773713.976	n	19.179	-0.162
1397773714.031	n	19.170	-0.160
1397773714.103	n	19.157	-0.165
1397773714.156	n	19.144	-0.172
1397773714.232	n	19.131	-0.175
1397773714.284	n	19.119	-0.178
1397773714.353	n	19.108	-0.178
1397773714.406	n	19.095	-0.182
1397773714.475	n	19.080	-0.190
1397773714.530	n	19.064	-0.198
1397773714.594	n	19.051	-0.200
1397773714.655	n	19.037	-0.204
1397773714.727	n	19.021	-0.210
1397773714.781	n	19.007	-0.212
1397773714.850	n	18.989	-0.222
1397773714.906	n	18.975	-0.222
1397773714.977	n	18.961	-0.221
1397773715.030	n	18.947	-0.222
1397773715.097	n	18.929	-0.230
1397773715.156	n	18.916	-0.228
1397773715.228	n	18.899	-0.233
1397773715.281	n	18.885	-0.232
1397773715.352	n	18.866	-0.241
1397773715.405	n	18.851	-0.243
1397773715.476	n	18.838	-0.238
1397773715.530	n	18.819	-0.247
1397773715.602	n	18.801	-0.251
1397773715.656	n	18.783	-0.257
1397773715.725	n	18.770	-0.250
1397773715.780	n	18.753	-0.253
1397773716.270	y	18.735	-0.257
1397773716.281	n	18.720	-0.255
1397773716.294	n	18.702	-0.265
1397773716.305	n	18.684	-0.276
1397773716.317	n	18.667	-0.286
1397773716.327	n	18.649	-0.298
1397773716.336	n	18.627	-0.317
1397773716.345	n	18.610	-0.325
1397773716.355	n	18.593	-0.334
1397773716.419	n	18.577	-0.329
1397773716.478	n	18.559	-0.330
1397773716.531	n	18.540	-0.335
1397773716.593	n	18.522	-0.333
1397773716.655	n	18.502	-0.336
1397773716.718	n	18.484	-0.334
1397773716.781	n	18.462	-0.342
1397773716.842	n	18.447	-0.333
1397773716.905	n	18.429	-0.331
1397773716.969	n	18.412	-0.327
1397773717.031	n	18.392	-0.331
1397773717.093	n	18.375	-0.327
1397773717.165	n	18.357	-0.324
1397773717.218	n	18.342	-0.318
1397773717.280	n	18.325	-0.314
1397773717.350	n	18.306	-0.316
1397773717.415	n	18.293	-0.303
1397773717.468	n	18.275	-0.306
1397773717.539	n	18.260	-0.299
1397773717.593	n	18.249	-0.287
1397773717.664	n	18.235	-0.280
1397773717.718	n	18.217	-0.285
1397773717.788	n	18.198	-0.289
1397773717.843	n	18.188	-0.275
1397773717.914	n	18.175	-0.266
1397773717.968	n	18.160	-0.267
1397773718.037	n	18.149	-0.256
1397773718.093	n	18.135	-0.254
1397773718.164	n	18.124	-0.244
1397773718.218	n	18.113	-0.238
1397773718.282	n	18.097	-0.242
1397773718.349	n	18.087	-0.232
1397773718.412	n	18.079	-0.219
1397773718.468	n	18.068	-0.215
1397773718.537	n	18.061	-0.201
1397773718.593	n	18.050	-0.199
1397773718.662	n	18.043	-0.188
1397773718.718	n	18.032	-0.188
1397773718.785	n	18.023	-0.183
1397773718.843	n	18.015	-0.177
1397773718.908	n	18.006	-0.174
1397773718.968	n	17.998	-0.170
1397773719.030	n	17.989	-0.168
1397773719.093	n	17.982	-0.161
1397773719.155	n	17.977	-0.150
1397773719.218	n	17.971	-0.144
1397773719.288	n	17.967	-0.133
1397773719.343	n	17.958	-0.135
1397773719.406	n	17.952	-0.131
1397773719.468	n	17.949	-0.120
1397773719.531	n	17.945	-0.114
1397773719.603	n	17.942	-0.105
1397773719.656	n	17.937	-0.103
1397773719.726	n	17.932	-0.101
1397773719.781	n	17.930	-0.093
1397773719.853	n	17.926	-0.088
1397773719.906	n	17.924	-0.082
1397773719.976	n	17.925	-0.070
1397773720.031	n	17.924	-0.064
1397773720.101	n	17.919	-0.065
1397773720.156	n	17.919	-0.057
1397773720.228	n	17.922	-0.045
1397773720.289	n	17.922	-0.039
1397773720.350	n	17.923	-0.033
1397773720.406	n	17.921	-0.033
1397773720.478	n	17.919	-0.033
1397773720.531	n	17.920	-0.027
1397773720.595	n	17.923	-0.016
1397773720.656	n	17.923	-0.014
1397773720.725	n	17.924	-0.010
1397773720.781	n	17.927	-0.002
1397773720.849	n	17.926	-0.004
1397773720.906	n	17.926	-0.004
1397773720.974	n	17.930	0.004
1397773721.031	n	17.934	0.012
1397773721.093	n	17.935	0.012
1397773721.188	y	17.937	0.014
1397773721.219	n	17.938	0.014
1397773721.280	n	17.939	0.014
1397773721.344	n	17.941	0.016
1397773721.406	n	17.941	0.014
1397773721.468	n	17.946	0.022
1397773721.530	n	17.948	0.024
1397773721.593	n	17.948	0.020
1397773721.655	n	17.952	0.026
1397773721.718	n	17.958	0.034
1397773721.781	n	17.959	0.032
1397773721.843	n	17.961	0.032
1397773721.916	n	17.963	0.032
1397773721.968	n	17.965	0.032
1397773722.039	n	17.970	0.038
1397773722.093	n	17.970	0.034
1397773722.157	n	17.970	0.030
1397773722.219	n	17.973	0.032
1397773722.291	n	17.976	0.034
1397773722.344	n	17.976	0.030
1397773722.410	n	17.979	0.032
1397773722.469	n	17.980	0.030
1397773722.538	n	17.980	0.026
1397773722.593	n	17.981	0.024
1397773722.665	n	17.983	0.024
1397773722.718	n	17.986	0.026
1397773722.788	n	17.987	0.024
1397773722.843	n	17.986	0.018
1397773722.915	n	17.985	0.014
1397773722.968	n	17.986	0.014
1397773723.035	n	17.989	0.018
1397773723.093	n	17.986	0.010
1397773723.163	n	17.987	0.010
1397773723.218	n	17.988	0.010
1397773723.281	n	17.986	0.004
1397773723.349	n	17.984	0.000
1397773723.411	n	17.985	0.002
1397773723.468	n	17.987	0.006
1397773723.536	n	17.987	0.006
1397773723.593	n	17.985	0.002
1397773723.656	n	17.983	-0.002
1397773723.718	n	17.984	0.000
1397773723.781	n	17.983	-0.002
1397773723.843	n	17.979	-0.010
1397773723.905	n	17.981	-0.004
1397773723.968	n	17.978	-0.010
1397773724.031	n	17.973	-0.018
1397773724.093	n	17.972	-0.018
1397773724.156	n	17.967	-0.026
1397773724.218	n	17.966	-0.024
1397773724.281	n	17.964	-0.026
1397773724.352	n	17.957	-0.036
1397773724.406	n	17.951	-0.044
1397773724.476	n	17.949	-0.042
1397773724.531	n	17.944	-0.046
1397773724.603	n	17.937	-0.054
1397773724.656	n	17.934	-0.054
1397773724.720	n	17.928	-0.060
1397773724.781	n	17.923	-0.062
1397773724.851	n	17.920	-0.060
1397773724.905	n	17.911	-0.070
1397773724.975	n	17.905	-0.074
1397773725.030	n	17.896	-0.082
1397773725.101	n	17.890	-0.084
1397773725.155	n	17.885	-0.084
1397773725.228	n	17.878	-0.088
1397773725.281	n	17.871	-0.092
1397773725.350	n	17.864	-0.094
1397773725.406	n	17.853	-0.104
1397773725.476	n	17.843	-0.112
1397773725.531	n	17.836	-0.112
1397773725.599	n	17.834	-0.102
1397773725.656	n	17.823	-0.112
1397773725.723	n	17.814	-0.116
1397773725.781	n	17.803	-0.124
1397773725.848	n	17.791	-0.132
1397773725.906	n	17.783	-0.132
1397773725.971	n	17.775	-0.132
1397773726.031	n	17.765	-0.136
1397773726.093	n	17.757	-0.136
1397773726.156	n	17.747	-0.140
1397773726.218	y	17.737	-0.142
1397773726.290	n	17.728	-0.142
1397773726.342	n	17.716	-0.149
1397773726.405	n	17.704	-0.155
1397773726.468	n	17.694	-0.155
1397773726.530	n	17.685	-0.153
1397773726.593	n	17.671	-0.163
1397773726.665	n	17.659	-0.166
1397773726.718	n	17.651	-0.163
1397773726.788	n	17.638	-0.168
1397773726.843	n	17.624	-0.177
1397773726.915	n	17.611	-0.180
1397773726.968	n	17.600	-0.181
1397773727.039	n	17.587	-0.184
1397773727.093	n	17.571	-0.195
1397773727.164	n	17.557	-0.198
1397773727.219	n	17.543	-0.203
1397773727.282	n	17.528	-0.207
1397773727.351	n	17.514	-0.208
1397773727.414	n	17.498	-0.214
1397773727.467	n	17.482	-0.221
1397773727.537	n	17.469	-0.218
1397773727.593	n	17.451	-0.227
1397773727.657	n	17.440	-0.221
1397773727.718	n	17.425	-0.223
1397773727.789	n	17.410	-0.224
1397773727.843	n	17.392	-0.233
1397773727.910	n	17.379	-0.230
1397773727.969	n	17.362	-0.237
1397773728.037	n	17.347	-0.236
1397773728.093	n	17.331	-0.239
1397773728.161	n	17.315	-0.240
1397773728.219	n	17.297	-0.247
1397773728.285	n	17.286	-0.238
1397773728.348	n	17.270	-0.240
1397773728.410	n	17.256	-0.238
1397773728.479	n	17.236	-0.247
1397773728.532	n	17.217	-0.257
1397773728.604	n	17.203	-0.251
1397773728.656	n	17.190	-0.247
1397773728.728	n	17.172	-0.252
1397773728.781	n	17.157	-0.251
1397773728.854	n	17.144	-0.243
1397773728.907	n	17.129	-0.245
1397773728.978	n	17.108	-0.256
1397773729.032	n	17.097	-0.247
1397773729.103	n	17.078	-0.254
1397773729.157	n	17.060	-0.259
1397773729.220	n	17.044	-0.259
1397773729.282	n	17.032	-0.251
1397773729.358	n	17.013	-0.255
1397773729.410	n	17.000	-0.250
1397773729.470	n	16.984	-0.251
1397773729.532	n	16.971	-0.245
1397773729.602	n	16.955	-0.246
1397773729.656	n	16.937	-0.253
1397773729.725	n	16.924	-0.246
1397773729.781	n	16.909	-0.247
1397773729.852	n	16.891	-0.252
1397773729.906	n	16.879	-0.245
1397773729.974	n	16.864	-0.244
1397773730.031	n	16.850	-0.243
1397773730.101	n	16.835	-0.242
1397773730.156	n	16.821	-0.241
1397773730.221	n	16.805	-0.242
1397773730.281	n	16.796	-0.230
1397773730.345	n	16.784	-0.226
1397773730.412	n	16.774	-0.218
1397773730.475	n	16.761	-0.216
1397773730.531	n	16.749	-0.215
1397773730.599	n	16.739	-0.208
1397773730.656	n	16.727	-0.206
1397773730.722	n	16.718	-0.198
1397773730.781	n	16.708	-0.194
1397773730.845	n	16.695	-0.196
1397773730.916	n	16.689	-0.183
1397773730.969	n	16.677	-0.186
1397773731.041	n	16.660	-0.195
1397773731.093	n	16.656	-0.180
1397773731.155	n	16.645	-0.180
1397773731.250	y	16.637	-0.174
1397773731.283	n	16.633	-0.160
1397773731.343	n	16.621	-0.165
1397773731.406	n	16.613	-0.161
1397773731.468	n	16.604	-0.159
1397773731.539	n	16.598	-0.150
1397773731.593	n	16.590	-0.148
1397773731.663	n	16.582	-0.146
1397773731.718	n	16.577	-0.138
1397773731.789	n	16.573	-0.128
1397773731.843	n	16.565	-0.128
1397773731.915	n	16.558	-0.126
1397773731.969	n	16.554	-0.118
1397773732.038	n	16.550	-0.112
1397773732.093	n	16.543	-0.112
1397773732.165	n	16.540	-0.104
1397773732.218	n	16.533	-0.106
1397773732.287	n	16.531	-0.096
1397773732.349	n	16.526	-0.094
1397773732.415	n	16.520	-0.094
1397773732.468	n	16.518	-0.086
1397773732.540	n	16.518	-0.076
1397773732.593	n	16.514	-0.074
1397773732.662	n	16.509	-0.074
1397773732.718	n	16.505	-0.072
1397773732.787	n	16.502	-0.070
1397773732.843	n	16.501	-0.064
1397773732.912	n	16.503	-0.052
1397773732.968	n	16.502	-0.048
1397773733.034	n	16.498	-0.050
1397773733.093	n	16.497	-0.046
1397773733.156	n	16.499	-0.036
1397773733.218	n	16.496	-0.038
1397773733.281	n	16.494	-0.038
1397773733.349	n	16.493	-0.036
1397773733.411	n	16.491	-0.036
1397773733.468	n	16.490	-0.034
1397773733.531	n	16.492	-0.026
1397773733.593	n	16.494	-0.018
1397773733.656	n	16.494	-0.016
1397773733.727	n	16.494	-0.014
1397773733.781	n	16.494	-0.012
1397773733.851	n	16.492	-0.014
1397773733.906	n	16.496	-0.004
1397773733.977	n	16.493	-0.010
1397773734.031	n	16.493	-0.008
1397773734.103	n	16.496	-0.002
1397773734.156	n	16.494	-0.006
1397773734.225	n	16.498	0.002
1397773734.280	n	16.498	0.002
1397773734.343	n	16.499	0.004
1397773734.410	n	16.501	0.008
1397773734.475	n	16.500	0.004
1397773734.531	n	16.502	0.008
1397773734.602	n	16.504	0.010
1397773734.656	n	16.505	0.010
1397773734.727	n	16.510	0.018
1397773734.781	n	16.511	0.018
1397773734.850	n	16.510	0.014
1397773734.906	n	16.509	0.010
1397773734.975	n	16.510	0.010
1397773735.031	n	16.514	0.016
1397773735.099	n	16.514	0.014
1397773735.156	n	16.514	0.012
1397773735.222	n	16.518	0.018
1397773735.281	n	16.516	0.012
1397773735.349	n	16.518	0.014
1397773735.406	n	16.522	0.020
1397773735.468	n	16.521	0.016
1397773735.541	n	16.521	0.014
1397773735.594	n	16.523	0.016
1397773735.665	n	16.524	0.016
1397773735.719	n	16.523	0.012
1397773735.791	n	16.523	0.010
1397773735.843	n	16.523	0.008
1397773735.915	n	16.522	0.004
1397773735.968	n	16.522	0.004
1397773736.038	n	16.522	0.004
1397773736.093	n	16.521	0.002
1397773736.164	n	16.519	-0.002
1397773736.219	n	16.517	-0.006
1397773736.313	y	16.519	-0.002
1397773736.344	n	16.515	-0.010
1397773736.405	n	16.516	-0.006
1397773736.468	n	16.516	-0.006
1397773736.539	n	16.515	-0.008
1397773736.594	n	16.512	-0.014
1397773736.662	n	16.508	-0.020
1397773736.718	n	16.509	-0.016
1397773736.790	n	16.505	-0.022
1397773736.844	n	16.502	-0.026
1397773736.913	n	16.500	-0.026
1397773736.968	n	16.496	-0.030
1397773737.037	n	16.490	-0.038
1397773737.093	n	16.487	-0.040
1397773737.162	n	16.484	-0.042
1397773737.218	n	16.480	-0.044
1397773737.287	n	16.477	-0.044
1397773737.349	n	16.472	-0.048
1397773737.405	n	16.470	-0.046
1397773737.468	n	16.463	-0.054
1397773737.531	n	16.454	-0.066
1397773737.593	n	16.453	-0.060
1397773737.655	n	16.445	-0.068
1397773737.729	n	16.439	-0.072
1397773737.782	n	16.431	-0.080
1397773737.853	n	16.424	-0.084
1397773737.907	n	16.417	-0.088
1397773737.978	n	16.410	-0.092
1397773738.032	n	16.401	-0.098
1397773738.102	n	16.394	-0.100
1397773738.156	n	16.384	-0.108
1397773738.226	n	16.377	-0.108
1397773738.282	n	16.371	-0.106
1397773738.351	n	16.359	-0.116
1397773738.407	n	16.351	-0.118
1397773738.477	n	16.343	-0.120
1397773738.532	n	16.331	-0.130
1397773738.600	n	16.319	-0.138
1397773738.657	n	16.311	-0.136
1397773738.727	n	16.299	-0.144
1397773738.781	n	16.289	-0.146
1397773738.849	n	16.277	-0.152
1397773738.906	n	16.269	-0.150
1397773738.976	n	16.258	-0.154
1397773739.032	n	16.248	-0.154
1397773739.102	n	16.234	-0.162
1397773739.156	n	16.219	-0.172
1397773739.225	n	16.211	-0.166
1397773739.281	n	16.200	-0.168
1397773739.357	n	16.187	-0.173
1397773739.409	n	16.175	-0.176
1397773739.475	n	16.160	-0.184
1397773739.532	n	16.149	-0.184
1397773739.596	n	16.131	-0.198
1397773739.657	n	16.122	-0.192
1397773739.719	n	16.110	-0.192
1397773739.790	n	16.096	-0.195
1397773739.844	n	16.078	-0.208
1397773739.915	n	16.065	-0.207
1397773739.969	n	16.049	-0.214
1397773740.041	n	16.038	-0.209
1397773740.094	n	16.024	-0.212
1397773740.166	n	16.005	-0.223
1397773740.219	n	15.993	-0.220
1397773740.291	n	15.978	-0.221
1397773740.350	n	15.969	-0.212
1397773740.415	n	15.953	-0.217
1397773740.469	n	15.938	-0.220
1397773740.532	n	15.921	-0.226
1397773740.594	n	15.909	-0.222
1397773740.663	n	15.894	-0.224
1397773740.719	n	15.880	-0.224
1397773740.790	n	15.865	-0.225
1397773740.844	n	15.851	-0.226
1397773740.913	n	15.834	-0.232
1397773740.968	n	15.819	-0.234
1397773741.039	n	15.808	-0.225
1397773741.094	n	15.792	-0.230
1397773741.162	n	15.778	-0.230
1397773741.218	n	15.765	-0.228
1397773741.288	n	15.751	-0.228
1397773741.405	y	15.736	-0.230
1397773741.417	n	15.725	-0.224
1397773741.468	n	15.709	-0.229
1397773741.537	n	15.693	-0.232
1397773741.593	n	15.685	-0.221
1397773741.662	n	15.671	-0.220
1397773741.719	n	15.659	-0.217
1397773741.787	n	15.646	-0.216
1397773741.843	n	15.632	-0.219
1397773741.909	n	15.622	-0.210
1397773741.968	n	15.609	-0.211
1397773742.031	n	15.594	-0.215
1397773742.093	n	15.585	-0.207
1397773742.156	n	15.573	-0.205
1397773742.218	n	15.565	-0.195
1397773742.281	n	15.552	-0.197
1397773742.346	n	15.540	-0.196
1397773742.412	n	15.531	-0.190
1397773742.478	n	15.521	-0.186
1397773742.531	n	15.513	-0.178
1397773742.597	n	15.505	-0.172
1397773742.656	n	15.497	-0.166
1397773742.726	n	15.487	-0.166
1397773742.781	n	15.478	-0.164
1397773742.852	n	15.471	-0.158
1397773742.906	n	15.464	-0.152
1397773742.974	n	15.454	-0.154
1397773743.031	n	15.446	-0.150
1397773743.100	n	15.438	-0.148
1397773743.157	n	15.430	-0.146
1397773743.227	n	15.423	-0.142
1397773743.282	n	15.413	-0.144
1397773743.358	n	15.408	-0.135
1397773743.411	n	15.407	-0.122
1397773743.476	n	15.395	-0.130
1397773743.532	n	15.392	-0.120
1397773743.601	n	15.385	-0.120
1397773743.657	n	15.382	-0.112
1397773743.725	n	15.373	-0.116
1397773743.781	n	15.367	-0.114
1397773743.851	n	15.366	-0.102
1397773743.907	n	15.359	-0.104
1397773743.969	n	15.354	-0.102
1397773744.032	n	15.350	-0.098
1397773744.096	n	15.345	-0.096
1397773744.160	n	15.342	-0.090
1397773744.219	n	15.338	-0.086
1397773744.291	n	15.336	-0.080
1397773744.349	n	15.336	-0.070
1397773744.416	n	15.332	-0.070
1397773744.469	n	15.328	-0.070
1397773744.541	n	15.323	-0.072
1397773744.594	n	15.325	-0.060
1397773744.666	n	15.318	-0.066
1397773744.719	n	15.316	-0.062
1397773744.789	n	15.315	-0.056
1397773744.844	n	15.311	-0.058
1397773744.916	n	15.308	-0.056
1397773744.969	n	15.307	-0.052
1397773745.038	n	15.304	-0.052
1397773745.094	n	15.302	-0.050
1397773745.164	n	15.301	-0.046
1397773745.219	n	15.299	-0.044
1397773745.291	n	15.296	-0.044
1397773745.349	n	15.295	-0.040
1397773745.413	n	15.292	-0.042
1397773745.469	n	15.292	-0.036
1397773745.540	n	15.294	-0.028
1397773745.594	n	15.287	-0.038
1397773745.666	n	15.289	-0.030
1397773745.719	n	15.284	-0.036
1397773745.787	n	15.284	-0.032
1397773745.844	n	15.286	-0.024
1397773745.907	n	15.282	-0.030
1397773745.969	n	15.280	-0.030
1397773746.038	n	15.281	-0.024
1397773746.094	n	15.281	-0.022
1397773746.161	n	15.280	-0.022
1397773746.219	n	15.277	-0.026
1397773746.282	n	15.275	-0.026
1397773746.352	n	15.275	-0.022
1397773746.407	y	15.275	-0.020
1397773746.474	n	15.276	-0.016
1397773746.532	n	15.276	-0.014
1397773746.604	n	15.275	-0.014
1397773746.656	n	15.276	-0.010
1397773746.728	n	15.273	-0.014
1397773746.782	n	15.273	-0.012
1397773746.854	n	15.272	-0.012
1397773746.907	n	15.272	-0.010
1397773746.976	n	15.273	-0.006
1397773747.032	n	15.273	-0.006
1397773747.103	n	15.269	-0.014
1397773747.157	n	15.269	-0.012
1397773747.226	n	15.265	-0.018
1397773747.282	n	15.264	-0.018
1397773747.344	n	15.267	-0.010
1397773747.414	n	15.263	-0.016
1397773747.478	n	15.261	-0.018
1397773747.531	n	15.263	-0.012
1397773747.600	n	15.259	-0.018
1397773747.656	n	15.261	-0.012
1397773747.722	n	15.257	-0.018
1397773747.782	n	15.252	-0.026
1397773747.853	n	15.250	-0.026
1397773747.907	n	15.252	-0.018
1397773747.976	n	15.250	-0.020
1397773748.032	n	15.245	-0.028
1397773748.100	n	15.243	-0.028
1397773748.156	n	15.236	-0.038
1397773748.219	n	15.236	-0.034
1397773748.282	n	15.234	-0.034
1397773748.355	n	15.235	-0.028
1397773748.407	n	15.229	-0.036
1397773748.470	n	15.226	-0.038
1397773748.542	n	15.222	-0.042
1397773748.594	n	15.222	-0.036
1397773748.667	n	15.213	-0.050
1397773748.719	n	15.211	-0.048
1397773748.791	n	15.208	-0.048
1397773748.844	n	15.204	-0.050
1397773748.916	n	15.199	-0.054
1397773748.969	n	15.192	-0.062
1397773749.040	n	15.191	-0.056
1397773749.094	n	15.188	-0.056
1397773749.163	n	15.183	-0.060
1397773749.219	n	15.179	-0.060
1397773749.289	n	15.174	-0.062
1397773749.350	n	15.168	-0.066
1397773749.415	n	15.165	-0.064
1397773749.469	n	15.162	-0.062
1397773749.538	n	15.158	-0.062
1397773749.594	n	15.150	-0.070
1397773749.664	n	15.145	-0.072
1397773749.719	n	15.141	-0.072
1397773749.781	n	15.135	-0.076
1397773749.844	n	15.125	-0.086
1397773749.913	n	15.119	-0.088
1397773749.969	n	15.113	-0.090
1397773750.038	n	15.109	-0.086
1397773750.094	n	15.105	-0.084
1397773750.163	n	15.101	-0.082
1397773750.219	n	15.093	-0.088
1397773750.288	n	15.085	-0.094
1397773750.344	n	15.080	-0.092
1397773750.420	n	15.073	-0.093
1397773750.472	n	15.066	-0.096
1397773750.534	n	15.062	-0.092
1397773750.603	n	15.054	-0.096
1397773750.656	n	15.045	-0.102
1397773750.728	n	15.038	-0.104
1397773750.782	n	15.033	-0.102
1397773750.843	n	15.026	-0.104
1397773750.907	n	15.016	-0.112
1397773750.978	n	15.011	-0.108
1397773751.031	n	15.003	-0.110
1397773751.103	n	14.994	-0.114
1397773751.156	n	14.987	-0.114
1397773751.226	n	14.983	-0.108
1397773751.281	n	14.972	-0.116
1397773751.352	n	14.967	-0.112
1397773751.406	y	14.957	-0.118
1397773751.469	n	14.950	-0.118
1397773751.531	n	14.942	-0.120
1397773751.600	n	14.937	-0.115
1397773751.656	n	14.931	-0.114
1397773751.727	n	14.925	-0.111
1397773751.781	n	14.919	-0.110
1397773751.849	n	14.910	-0.113
1397773751.906	n	14.902	-0.116
1397773751.971	n	14.896	-0.114
1397773752.032	n	14.892	-0.108
1397773752.102	n	14.881	-0.115
1397773752.156	n	14.875	-0.114
1397773752.225	n	14.865	-0.119
1397773752.281	n	14.859	-0.118
1397773752.350	n	14.850	-0.121
1397773752.414	n	14.841	-0.123
