Source File: D:\Storage\Programs\OOI\Group 5\Correspondence\07_18_14 sample files\files\11079364.WC
Processed: 07/18/2014 17:47:39
Using Version: 1.11
Device: SBE
Start Date: 04/17/2014
Timestamp (s)	Suspect Timestamp	Pressure (dbar)	Velocity (m/s)
1397773533.611	n	0.949	0.188
1397773533.677	n	0.958	0.182
1397773533.736	n	0.976	0.196
1397773533.799	n	0.997	0.214
1397773533.867	n	1.017	0.227
1397773533.928	n	1.038	0.241
1397773533.993	n	1.056	0.247
1397773534.048	n	1.071	0.246
1397773534.118	n	1.086	0.245
1397773534.173	n	1.101	0.246
1397773534.242	n	1.109	0.231
1397773534.299	n	1.118	0.220
1397773534.365	n	1.120	0.196
1397773534.424	n	1.124	0.180
1397773534.486	n	1.129	0.168
1397773534.549	n	1.141	0.170
1397773534.615	n	1.146	0.158
1397773534.674	n	1.153	0.152
1397773534.736	n	1.162	0.150
1397773534.798	n	1.171	0.150
1397773534.871	n	1.183	0.155
1397773534.923	n	1.192	0.154
1397773534.986	n	1.196	0.142
1397773535.055	n	1.207	0.146
1397773535.111	n	1.214	0.142
1397773535.180	n	1.227	0.150
1397773535.236	n	1.236	0.150
1397773535.305	n	1.245	0.150
1397773535.361	n	1.262	0.166
1397773535.430	n	1.277	0.175
1397773535.487	n	1.290	0.180
1397773535.549	n	1.307	0.192
1397773535.612	n	1.323	0.200
1397773535.677	n	1.339	0.206
1397773535.737	n	1.357	0.216
1397773535.803	n	1.377	0.228
1397773535.861	n	1.391	0.228
1397773535.923	n	1.412	0.242
1397773535.987	n	1.429	0.246
1397773536.047	n	1.443	0.244
1397773536.118	n	1.465	0.257
1397773536.173	n	1.481	0.258
1397773536.240	n	1.501	0.266
1397773536.298	n	1.522	0.274
1397773536.368	n	1.542	0.279
1397773536.423	n	1.561	0.282
1397773536.491	n	1.580	0.284
1397773536.548	n	1.601	0.290
1397773536.611	n	1.622	0.296
1397773536.674	n	1.639	0.292
1397773536.740	n	1.659	0.296
1397773536.798	n	1.680	0.300
1397773536.874	n	1.701	0.302
1397773536.932	n	1.714	0.291
1397773536.986	n	1.730	0.288
1397773537.055	n	1.750	0.291
1397773537.112	n	1.767	0.290
1397773537.182	n	1.781	0.281
1397773537.236	n	1.794	0.272
1397773537.306	n	1.810	0.269
1397773537.361	n	1.826	0.268
1397773537.429	n	1.839	0.260
1397773537.486	n	1.852	0.254
1397773537.552	n	1.868	0.254
1397773537.611	n	1.878	0.242
1397773537.679	n	1.893	0.242
1397773537.736	n	1.908	0.242
1397773537.802	n	1.920	0.236
1397773537.861	n	1.933	0.232
1397773537.924	n	1.949	0.234
1397773537.986	n	1.959	0.224
1397773538.081	y	1.972	0.222
1397773538.111	n	1.988	0.226
1397773538.173	n	2.001	0.224
1397773538.243	n	2.012	0.217
1397773538.298	n	2.029	0.224
1397773538.365	n	2.044	0.226
1397773538.424	n	2.053	0.216
1397773538.487	n	2.068	0.218
1397773538.549	n	2.080	0.214
1397773538.615	n	2.093	0.214
1397773538.674	n	2.107	0.216
1397773538.737	n	2.119	0.212
1397773538.808	n	2.136	0.219
1397773538.861	n	2.148	0.216
1397773538.932	n	2.161	0.213
1397773538.986	n	2.176	0.218
1397773539.056	n	2.188	0.213
1397773539.111	n	2.206	0.224
1397773539.180	n	2.215	0.213
1397773539.236	n	2.226	0.210
1397773539.304	n	2.237	0.206
1397773539.361	n	2.246	0.198
1397773539.430	n	2.261	0.204
1397773539.487	n	2.273	0.202
1397773539.553	n	2.278	0.186
1397773539.612	n	2.290	0.186
1397773539.680	n	2.298	0.178
1397773539.745	n	2.309	0.177
1397773539.799	n	2.319	0.176
1397773539.871	n	2.327	0.169
