Profile 0

 mmho/cm   Celsius      dbars     hz
+00.9926  +23.6078  -0000.380      0
+00.9926  +23.6069  -0000.460      0
+00.9926  +23.6071  -0000.410      0
+00.9926  +23.6074  -0000.300      0
+00.9926  +23.6066  -0000.290      0
+00.9926  +23.6064  -0000.230      0
+00.9926  +23.6063  -0000.190      0
+00.9926  +23.6069  -0000.060      0
+00.9926  +23.6064  -0000.200      0
+00.9926  +23.6066  -0000.270      0
+00.9926  +23.6069  -0000.420      0
+00.9926  +23.6065  -0000.480      0
+00.9926  +23.6063  -0000.400      0
+00.9926  +23.6068  -0000.260      0
+00.9926  +23.6061  -0000.200      0
+00.9926  +23.6066  -0000.150      0
+00.9926  +23.6058  -0000.090      0
+00.9926  +23.6064  -0000.150      0
+00.9926  +23.6058  -0000.270      0
+00.9926  +23.6060  -0000.410      0
+00.9926  +23.6055  -0000.460      0
+00.9926  +23.6062  -0000.480      0
+00.9926  +23.6058  -0000.410      0
+00.9926  +23.6053  -0000.320      0
+00.9926  +23.6052  -0000.210      0
+00.9926  +23.6053  -0000.120      0
+00.9926  +23.6052  -0000.110      0
+00.9925  +23.6052  -0000.120      0
+00.9926  +23.6049  -0000.290      0
+00.9926  +23.6049  -0000.410      0
+00.9926  +23.6044  -0000.510      0
+00.9925  +23.6047  -0000.410      0
+00.9925  +23.6049  -0000.340      0
+00.9926  +23.6039  -0000.160      0
+00.9926  +23.6037  -0000.140      0
+00.9925  +23.6046  -0000.120      0
+00.9926  +23.6040  -0000.160      0
+00.9925  +23.6043  -0000.320      0
+00.9925  +23.6035  -0000.370      0
+00.9926  +23.6034  -0000.450      0
+00.9925  +23.6038  -0000.410      0
+00.9925  +23.6032  -0000.270      0
+00.9925  +23.6036  -0000.180      0
+00.9925  +23.6033  -0000.100      0
+00.9925  +23.6031  -0000.150      0
+00.9925  +23.6033  -0000.300      0
+00.9925  +23.6026  -0000.440      0
+00.9925  +23.6028  -0000.420      0
+00.9925  +23.6032  -0000.340      0
+00.9925  +23.6027  -0000.320      0
+00.9925  +23.6030  -0000.220      0
+00.9925  +23.6031  -0000.140      0
+00.9925  +23.6021  -0000.130      0
+00.9925  +23.6022  -0000.160      0
+00.9925  +23.6019  -0000.250      0
+00.9925  +23.6021  -0000.340      0
+00.9925  +23.6017  -0000.480      0
+00.9925  +23.6022  -0000.430      0
+00.9925  +23.6017  -0000.360      0
+00.9925  +23.6015  -0000.220      0
+00.9925  +23.6011  -0000.170      0
+00.9925  +23.6013  -0000.080      0
+00.9925  +23.6009  -0000.160      0
+00.9925  +23.6008  -0000.200      0
+00.9925  +23.6011  -0000.320      0
+00.9925  +23.6008  -0000.440      0
+00.9925  +23.6008  -0000.450      0
+00.9925  +23.6006  -0000.330      0
+00.9925  +23.6002  -0000.240      0
+00.9925  +23.6006  -0000.220      0
+00.9925  +23.5997  -0000.160      0
+00.9924  +23.6002  -0000.120      0
+00.9925  +23.6001  -0000.160      0
+00.9925  +23.6000  -0000.250      0
+00.9925  +23.6001  -0000.290      0
+00.9925  +23.6002  -0000.420      0
+00.9924  +23.6000  -0000.430      0
+00.9925  +23.6001  -0000.420      0
+00.9924  +23.5999  -0000.340      0
+00.9924  +23.5998  -0000.290      0
+00.9925  +23.5996  -0000.150      0
+00.9925  +23.6000  -0000.120      0
+00.9924  +23.5991  -0000.140      0
+00.9924  +23.5992  -0000.140      0
+00.9923  +23.5989  -0000.130      0
+00.9925  +23.5989  -0000.170      0
+00.9924  +23.5990  -0000.290      0
+00.9924  +23.5990  -0000.340      0
+00.9924  +23.5984  -0000.460      0
+00.9923  +23.5986  -0000.460      0
+00.9924  +23.5982  -0000.380      0
+00.9924  +23.5982  -0000.300      0
+00.9924  +23.5981  -0000.190      0
+00.9924  +23.5979  -0000.090      0
+00.9924  +23.5973  -0000.110      0
+00.9924  +23.5980  -0000.120      0
+00.9924  +23.5974  -0000.220      0
+00.9924  +23.5976  -0000.410      0
+00.9924  +23.5972  -0000.480      0
+00.9924  +23.5982  -0000.360      0
+00.9924  +23.5975  -0000.270      0
+00.9923  +23.5977  -0000.110      0
+00.9924  +23.5983  -0000.120      0
+00.9923  +23.5979  -0000.130      0
+00.9924  +23.5976  -0000.220      0
+00.9924  +23.5975  -0000.270      0
+00.9924  +23.5971  -0000.340      0
+00.9924  +23.5975  -0000.460      0
+00.9923  +23.5973  -0000.420      0
+00.9924  +23.5964  -0000.340      0
+00.9924  +23.5966  -0000.180      0
+00.9923  +23.5972  -0000.160      0
+00.9923  +23.5964  -0000.160      0
+00.9924  +23.5966  -0000.120      0
+00.9924  +23.5964  -0000.130      0
+00.9924  +23.5959  -0000.260      0
+00.9923  +23.5960  -0000.320      0
+00.9923  +23.5950  -0000.430      0
+00.9923  +23.5952  -0000.480      0
+00.9923  +23.5954  -0000.440      0
+00.9923  +23.5950  -0000.460      0
+00.9923  +23.5952  -0000.430      0
+00.9923  +23.5956  -0000.350      0
+00.9923  +23.5951  -0000.360      0
+00.9923  +23.5948  -0000.290      0
+00.9924  +23.5953  -0000.140      0
+00.9923  +23.5959  -0000.080      0
+00.9923  +23.5956  -0000.170      0
+00.9923  +23.5951  -0000.270      0
+00.9923  +23.5950  -0000.350      0
+00.9923  +23.5947  -0000.450      0
+00.9923  +23.5943  -0000.490      0
+00.9923  +23.5950  -0000.310      0
+00.9923  +23.5937  -0000.180      0
+00.9923  +23.5945  -0000.130      0
+00.9923  +23.5935  -0000.110      0
+00.9923  +23.5946  -0000.200      0
+00.9923  +23.5941  -0000.370      0
+00.9923  +23.5943  -0000.440      0
+00.9923  +23.5937  -0000.450      0
+00.9923  +23.5940  -0000.320      0
+00.9923  +23.5940  -0000.200      0
+00.9923  +23.5940  -0000.130      0
+00.9923  +23.5942  -0000.130      0
+00.9923  +23.5929  -0000.140      0
+00.9923  +23.5932  -0000.300      0
+00.9922  +23.5930  -0000.360      0
+00.9923  +23.5926  -0000.450      0
+00.9923  +23.5919  -0000.480      0
+00.9923  +23.5928  -0000.380      0
+00.9923  +23.5919  -0000.320      0
+00.9922  +23.5915  -0000.210      0
+00.9922  +23.5917  -0000.130      0
+00.9922  +23.5917  -0000.120      0
+00.9922  +23.5922  -0000.160      0
+00.9922  +23.5912  -0000.180      0
+00.9922  +23.5906  -0000.270      0
+00.9922  +23.5908  -0000.420      0
+00.9922  +23.5909  -0000.430      0
+00.9922  +23.5913  -0000.380      0
+00.9922  +23.5905  -0000.310      0
+00.9923  +23.5908  -0000.070      0
+00.9922  +23.5898  -0000.130      0
+00.9922  +23.5898  -0000.160      0
+00.9922  +23.5901  -0000.280      0
+00.9922  +23.5897  -0000.340      0
+00.9922  +23.5898  -0000.390      0
+00.9922  +23.5892  -0000.500      0
+00.9922  +23.5894  -0000.380      0
+00.9922  +23.5889  -0000.250      0
+00.9922  +23.5888  -0000.160      0
+00.9922  +23.5893  -0000.100      0
+00.9922  +23.5885  -0000.270      0
+00.9922  +23.5892  -0000.320      0
+00.9922  +23.5880  -0000.440      0
+00.9922  +23.5878  -0000.450      0
+00.9922  +23.5884  -0000.410      0
+00.9922  +23.5884  -0000.210      0
+00.9922  +23.5878  -0000.120      0
+00.9922  +23.5881  -0000.130      0
+00.9922  +23.5874  -0000.230      0
+00.9922  +23.5879  -0000.390      0
+00.9922  +23.5872  -0000.450      0
+00.9922  +23.5872  -0000.410      0
+00.9922  +23.5875  -0000.390      0
+00.9922  +23.5870  -0000.240      0
+00.9922  +23.5867  -0000.190      0
+00.9922  +23.5865  -0000.160      0
+00.9922  +23.5873  -0000.120      0
+00.9922  +23.5863  -0000.140      0
+00.9922  +23.5860  -0000.270      0
+00.9921  +23.5862  -0000.350      0
+00.9922  +23.5857  -0000.290      0
+00.9922  +23.5856  -0000.450      0
+00.9922  +23.5854  -0000.450      0
+00.9922  +23.5850  -0000.390      0
+00.9922  +23.5858  -0000.300      0
+00.9922  +23.5860  -0000.240      0
+00.9921  +23.5853  -0000.130      0
+00.9921  +23.5853  -0000.160      0
+00.9921  +23.5853  -0000.230      0
+00.9921  +23.5852  -0000.340      0
+00.9922  +23.5854  -0000.460      0
+00.9921  +23.5850  -0000.380      0
+00.9921  +23.5844  -0000.370      0
+00.9921  +23.5847  -0000.290      0
+00.9921  +23.5849  -0000.270      0
+00.9921  +23.5841  -0000.090      0
+00.9921  +23.5848  -0000.120      0
+00.9921  +23.5843  -0000.180      0
+00.9922  +23.5846  -0000.290      0
+00.9921  +23.5839  -0000.430      0
+00.9921  +23.5842  -0000.490      0
+00.9922  +23.5845  -0000.420      0
+00.9921  +23.5842  -0000.330      0
+00.9921  +23.5839  -0000.260      0
+00.9921  +23.5841  -0000.210      0
+00.9921  +23.5835  -0000.090      0
+00.9921  +23.5836  -0000.180      0
+00.9921  +23.5834  -0000.340      0
+00.9921  +23.5836  -0000.480      0
+00.9921  +23.5828  -0000.460      0
+00.9921  +23.5834  -0000.310      0
+00.9921  +23.5831  -0000.150      0
+00.9921  +23.5830  -0000.140      0
+00.9921  +23.5820  -0000.100      0
+00.9921  +23.5824  -0000.250      0
+00.9921  +23.5826  -0000.450      0
+00.9921  +23.5827  -0000.360      0
+00.9921  +23.5825  -0000.230      0
+00.9921  +23.5826  -0000.090      0
+00.9921  +23.5827  -0000.150      0
+00.9921  +23.5824  -0000.340      0
+00.9921  +23.5824  -0000.460      0
+00.9921  +23.5824  -0000.400      0
+00.9921  +23.5823  -0000.270      0
+00.9921  +23.5821  -0000.140      0
+00.9921  +23.5815  -0000.190      0
+00.9921  +23.5820  -0000.360      0
+00.9921  +23.5813  -0000.440      0
+00.9921  +23.5814  -0000.390      0
+00.9921  +23.5814  -0000.210      0
+00.9921  +23.5811  -0000.100      0
+00.9921  +23.5804  -0000.210      0
+00.9921  +23.5807  -0000.340      0
+00.9920  +23.5805  -0000.440      0
+00.9921  +23.5803  -0000.340      0
+00.9920  +23.5801  -0000.120      0
+00.9921  +23.5807  -0000.160      0
+00.9920  +23.5798  -0000.320      0
+00.9920  +23.5797  -0000.460      0
+00.9920  +23.5796  -0000.310      0
+00.9920  +23.5798  -0000.200      0
+00.9920  +23.5794  -0000.130      0
+00.9920  +23.5795  -0000.320      0
+00.9920  +23.5791  -0000.410      0
+00.9920  +23.5788  -0000.430      0
+00.9920  +23.5787  -0000.250      0
+00.9920  +23.5794  -0000.150      0
+00.9920  +23.5786  -0000.440      0
+00.9920  +23.5786  -0000.430      0
+00.9920  +23.5787  -0000.200      0
+00.9920  +23.5786  -0000.100      0
+00.9920  +23.5793  -0000.310      0
+00.9920  +23.5784  -0000.420      0
+00.9920  +23.5781  -0000.330      0
+00.9920  +23.5774  -0000.110      0
+00.9920  +23.5771  -0000.200      0
+00.9920  +23.5779  -0000.390      0
+00.9920  +23.5781  -0000.400      0
+00.9920  +23.5774  -0000.250      0
+00.9920  +23.5776  -0000.090      0
+00.9920  +23.5775  -0000.250      0
+00.9920  +23.5775  -0000.410      0
+00.9920  +23.5770  -0000.430      0
+00.9920  +23.5764  -0000.190      0
+00.9920  +23.5764  -0000.110      0
+00.9920  +23.5764  -0000.370      0
+00.9920  +23.5762  -0000.450      0
+00.9919  +23.5769  -0000.240      0
+00.9920  +23.5766  -0000.110      0
+00.9920  +23.5762  -0000.200      0
+00.9920  +23.5761  -0000.430      0
+00.9919  +23.5754  -0000.270      0
+00.9919  +23.5762  -0000.080      0
+00.9919  +23.5763  -0000.180      0
+00.9919  +23.5758  -0000.480      0
+00.9919  +23.5756  -0000.330      0
+00.9920  +23.5758  -0000.110      0
+00.9919  +23.5744  -0000.250      0
+00.9919  +23.5747  -0000.440      0
+00.9920  +23.5751  -0000.340      0
+00.9919  +23.5751  -0000.130      0
+00.9919  +23.5742  -0000.160      0
+00.9919  +23.5753  -0000.450      0
+00.9919  +23.5745  -0000.370      0
+00.9919  +23.5748  -0000.220      0
+00.9919  +23.5742  -0000.110      0
+00.9919  +23.5738  -0000.280      0
+00.9919  +23.5743  -0000.460      0
+00.9919  +23.5740  -0000.390      0
+00.9919  +23.5741  -0000.170      0
+00.9919  +23.5738  -0000.080      0
+00.9919  +23.5741  -0000.190      0
+00.9919  +23.5740  -0000.410      0
+00.9919  +23.5740  -0000.440      0
+00.9919  +23.5737  -0000.190      0
+00.9919  +23.5736  -0000.110      0
+00.9919  +23.5734  -0000.270      0
+00.9919  +23.5733  -0000.490      0
+00.9919  +23.5736  -0000.320      0
+00.9918  +23.5724  -0000.100      0
+00.9919  +23.5727  -0000.300      0
+00.9919  +23.5725  -0000.440      0
+00.9919  +23.5729  -0000.310      0
+00.9919  +23.5724  -0000.120      0
+00.9919  +23.5721  -0000.230      0
+00.9918  +23.5720  -0000.420      0
+00.9919  +23.5726  -0000.400      0
+00.9919  +23.5721  -0000.160      0
+00.9918  +23.5716  -0000.220      0
+00.9919  +23.5712  -0000.410      0
+00.9919  +23.5713  -0000.460      0
+00.9919  +23.5716  -0000.210      0
+00.9919  +23.5712  -0000.130      0
+00.9919  +23.5707  -0000.270      0
+00.9919  +23.5703  -0000.390      0
+00.9918  +23.5708  -0000.290      0
+00.9918  +23.5707  -0000.060      0
+00.9919  +23.5703  -0000.330      0
+00.9918  +23.5699  -0000.410      0
+00.9919  +23.5702  -0000.170      0
+00.9918  +23.5697  -0000.160      0
+00.9918  +23.5701  -0000.410      0
+00.9918  +23.5701  -0000.260      0
+00.9918  +23.5703  -0000.090      0
+00.9918  +23.5694  -0000.260      0
+00.9918  +23.5693  -0000.440      0
+00.9918  +23.5686  -0000.380      0
+00.9918  +23.5691  -0000.220      0
+00.9918  +23.5689  -0000.080      0
+00.9918  +23.5686  -0000.340      0
+00.9918  +23.5689  -0000.420      0
+00.9918  +23.5682  -0000.210      0
+00.9918  +23.5684  -0000.130      0
+00.9918  +23.5682  -0000.340      0
+00.9918  +23.5675  -0000.460      0
+00.9918  +23.5686  -0000.390      0
+00.9918  +23.5685  -0000.170      0
+00.9918  +23.5678  -0000.080      0
+00.9918  +23.5678  -0000.240      0
+00.9918  +23.5685  -0000.420      0
+00.9918  +23.5680  -0000.390      0
+00.9918  +23.5684  -0000.160      0
+00.9918  +23.5676  -0000.220      0
+00.9918  +23.5674  -0000.450      0
+00.9918  +23.5672  -0000.370      0
+00.9918  +23.5667  -0000.080      0
+00.9917  +23.5662  -0000.280      0
+00.9918  +23.5667  -0000.490      0
+00.9918  +23.5659  -0000.270      0
+00.9918  +23.5664  -0000.090      0
+00.9918  +23.5660  -0000.300      0
+00.9918  +23.5654  -0000.440      0
+00.9918  +23.5661  -0000.470      0
+00.9917  +23.5651  -0000.200      0
+00.9917  +23.5654  -0000.140      0
+00.9918  +23.5648  -0000.320      0
+00.9918  +23.5652  -0000.470      0
+00.9917  +23.5651  -0000.310      0
+00.9917  +23.5651  -0000.080      0
+00.9917  +23.5650  -0000.130      0
+00.9917  +23.5641  -0000.430      0
+00.9917  +23.5643  -0000.330      0
+00.9917  +23.5641  -0000.080      0
+00.9917  +23.5640  -0000.240      0
+00.9917  +23.5638  -0000.460      0
+00.9917  +23.5646  -0000.320      0
+00.9917  +23.5643  -0000.120      0
+00.9917  +23.5643  -0000.300      0
+00.9917  +23.5640  -0000.430      0
+00.9917  +23.5642  -0000.170      0
+00.9917  +23.5634  -0000.190      0
+00.9917  +23.5640  -0000.410      0
+00.9917  +23.5637  -0000.410      0
+00.9917  +23.5632  -0000.220      0
+00.9917  +23.5632  -0000.070      0
+00.9916  +23.5632  -0000.350      0
+00.9917  +23.5624  -0000.460      0
+00.9917  +23.5629  -0000.190      0
+00.9917  +23.5621  -0000.160      0
+00.9917  +23.5626  -0000.420      0
+00.9916  +23.5611  -0000.420      0
+00.9917  +23.5618  -0000.140      0
+00.9917  +23.5615  -0000.200      0
+00.9916  +23.5605  -0000.420      0
+00.9916  +23.5610  -0000.450      0
+00.9917  +23.5596  -0000.240      0
+00.9916  +23.5605  -0000.130      0
+00.9916  +23.5596  -0000.300      0
+00.9916  +23.5595  -0000.450      0
+00.9916  +23.5593  -0000.330      0
+00.9916  +23.5589  -0000.100      0
+00.9916  +23.5590  -0000.210      0
+00.9916  +23.5581  -0000.470      0
+00.9916  +23.5583  -0000.390      0
+00.9916  +23.5576  -0000.100      0
+00.9916  +23.5578  -0000.250      0
+00.9916  +23.5576  -0000.450      0
+00.9916  +23.5572  -0000.430      0
+00.9916  +23.5571  -0000.200      0
+00.9915  +23.5571  -0000.060      0
+00.9916  +23.5569  -0000.340      0
+00.9916  +23.5559  -0000.420      0
+00.9916  +23.5565  -0000.380      0
+00.9915  +23.5561  -0000.180      0
+00.9916  +23.5563  -0000.140      0
+00.9916  +23.5561  -0000.300      0
+00.9916  +23.5559  -0000.460      0
+00.9916  +23.5556  -0000.280      0
+00.9915  +23.5552  -0000.120      0
+00.9915  +23.5551  -0000.370      0
+00.9916  +23.5552  -0000.400      0
+00.9916  +23.5553  -0000.140      0
+00.9915  +23.5555  -0000.090      0
+00.9916  +23.5555  -0000.410      0
+00.9916  +23.5545  -0000.390      0
