

 Profile 181

mmho/cm,Celsius,dbars,hz
1.5345,16.3477,12.630, 2777
1.5346,16.3473,12.640, 2786
1.5348,16.3468,12.640, 2795
1.5349,16.3463,12.640, 2801
1.5350,16.3453,12.640, 2809
1.5351,16.3449,12.640, 2819
1.5352,16.3446,12.640, 2825
1.5353,16.3441,12.640, 2833
1.5353,16.3427,12.640, 2841
1.5354,16.3423,12.640, 2850
1.5355,16.3415,12.640, 2858
1.5355,16.3410,12.640, 2865
1.5356,16.3398,12.640, 2872
1.5356,16.3396,12.640, 2881
1.5358,16.3387,12.640, 2888
1.5358,16.3379,12.640, 2896
1.5359,16.3379,12.640, 2904
1.5359,16.3368,12.640, 2910
1.5359,16.3363,12.640, 2917
1.5360,16.3355,12.640, 2924
1.5360,16.3352,12.640, 2931
1.5360,16.3339,12.640, 2938
1.5361,16.3339,12.630, 2946
1.5362,16.3330,12.640, 2953
1.5362,16.3328,12.640, 2959
1.5362,16.3313,12.640, 2966
1.5362,16.3312,12.640, 2971
1.5363,16.3305,12.640, 2979
1.5364,16.3298,12.640, 2984
1.5364,16.3300,12.640, 2991
1.5364,16.3290,12.630, 2998
1.5365,16.3282,12.640, 3004
1.5365,16.3283,12.630, 3011
1.5365,16.3272,12.640, 3016
1.5365,16.3266,12.640, 3023
1.5366,16.3261,12.640, 3029
1.5366,16.3251,12.630, 3035
1.5366,16.3253,12.640, 3040
1.5367,16.3241,12.640, 3047
1.5367,16.3239,12.640, 3052
1.5367,16.3238,12.640, 3058
1.5368,16.3229,12.640, 3063
1.5368,16.3225,12.640, 3069
1.5368,16.3222,12.640, 3076
1.5368,16.3220,12.640, 3081
1.5368,16.3211,12.630, 3086
1.5368,16.3205,12.640, 3091
1.5369,16.3205,12.640, 3097
1.5369,16.3194,12.640, 3102
1.5369,16.3196,12.640, 3107
1.5370,16.3189,12.640, 3112
1.5370,16.3177,12.640, 3117
1.5370,16.3184,12.630, 3122
1.5370,16.3174,12.640, 3127
1.5371,16.3170,12.640, 3132
1.5371,16.3171,12.640, 3137
1.5371,16.3169,12.640, 3141
1.5371,16.3160,12.640, 3146
1.5372,16.3160,12.640, 3151
1.5372,16.3152,12.640, 3157
1.5372,16.3145,12.640, 3161
1.5372,16.3143,12.640, 3165
1.5372,16.3139,12.640, 3170
1.5373,16.3139,12.640, 3175
1.5373,16.3132,12.640, 3180
1.5373,16.3132,12.640, 3184
1.5373,16.3125,12.640, 3187
1.5373,16.3121,12.640, 3192
1.5373,16.3127,12.640, 3196
1.5373,16.3118,12.630, 3200
1.5374,16.3117,12.640, 3205
1.5374,16.3108,12.640, 3209
1.5374,16.3111,12.630, 3213
1.5374,16.3102,12.630, 3217
1.5374,16.3106,12.640, 3221
1.5375,16.3095,12.640, 3226
1.5374,16.3096,12.640, 3229
1.5375,16.3097,12.640, 3234
1.5375,16.3092,12.640, 3237
1.5375,16.3086,12.640, 3242
1.5375,16.3079,12.640, 3246
1.5376,16.3081,12.640, 3249
1.5376,16.3081,12.640, 3253
1.5376,16.3077,12.640, 3256
1.5376,16.3072,12.640, 3260
1.5376,16.3069,12.640, 3264
1.5376,16.3072,12.640, 3268
1.5376,16.3059,12.640, 3272
1.5376,16.3067,12.640, 3275
1.5377,16.3063,12.640, 3279
1.5377,16.3057,12.640, 3282
1.5377,16.3058,12.640, 3286
1.5377,16.3053,12.640, 3289
1.5377,16.3052,12.640, 3294
1.5377,16.3045,12.640, 3297
1.5377,16.3050,12.640, 3301
1.5377,16.3051,12.640, 3303
1.5377,16.3042,12.640, 3307
1.5377,16.3041,12.640, 3310
1.5377,16.3034,12.640, 3313
1.5377,16.3039,12.640, 3317
1.5377,16.3038,12.640, 3319
1.5377,16.3036,12.640, 3322
1.5378,16.3030,12.640, 3326
1.5378,16.3030,12.640, 3329
1.5378,16.3028,12.640, 3332
1.5378,16.3029,12.640, 3336
1.5378,16.3026,12.640, 3340
1.5378,16.3020,12.640, 3343
