Source File: C:\data\ooi\CSPP\uCSPP_2014_04_14_deploy\recoveredData\11079364.PPB
Processed: 07/08/2014 15:38:02
Using Version: 1.10
Device: OPT
Start Date: 04/17/2014
Timestamp (s)	Depth (m)	Data
1397773695.169	19.171	4831	209	281.570	9.784	34.306	34.306	43.575	9.268	936.1	939.9	616.2
1397773696.169	19.114	4831	209	281.359	9.782	34.317	34.317	43.585	9.268	936.3	939.6	616.3
1397773697.168	19.189	4831	209	280.930	9.791	34.331	34.331	43.599	9.268	936.6	939.3	616.0
1397773698.170	19.377	4831	209	280.569	9.799	34.342	34.342	43.612	9.270	936.7	938.9	615.8
1397773699.169	19.591	4831	209	280.172	9.799	34.359	34.359	43.629	9.270	936.7	938.2	615.7
1397773700.168	19.801	4831	209	279.740	9.804	34.376	34.376	43.647	9.271	936.5	937.5	615.6
1397773701.169	19.902	4831	209	279.448	9.803	34.389	34.389	43.661	9.272	936.2	936.9	615.6
1397773702.170	19.911	4831	209	279.150	9.807	34.400	34.400	43.672	9.272	936.0	936.3	615.5
1397773703.168	19.793	4831	209	278.780	9.811	34.415	34.415	43.687	9.272	936.1	936.0	615.4
1397773704.169	19.573	4831	209	278.512	9.805	34.429	34.429	43.702	9.272	936.5	935.8	615.6
1397773705.170	19.313	4831	209	278.250	9.796	34.445	34.445	43.717	9.272	937.0	935.6	615.8
1397773706.170	19.107	4831	209	277.988	9.783	34.464	34.464	43.737	9.273	937.7	935.4	616.3
1397773707.169	19.009	4831	209	277.829	9.768	34.478	34.478	43.752	9.274	938.3	935.2	616.7
1397773708.169	19.031	4831	209	277.418	9.775	34.493	34.493	43.767	9.274	938.6	935.1	616.5
1397773709.170	19.110	4831	209	276.856	9.795	34.508	34.508	43.782	9.274	939.1	934.9	615.9
1397773710.169	19.200	4831	209	276.392	9.805	34.523	34.523	43.798	9.275	939.4	934.6	615.6
1397773711.169	19.264	4831	209	276.007	9.811	34.537	34.537	43.813	9.276	939.7	934.3	615.4
1397773712.169	19.259	4831	209	275.650	9.816	34.551	34.551	43.826	9.276	939.9	934.0	615.2
1397773713.168	19.193	4831	209	275.363	9.817	34.563	34.563	43.839	9.276	940.1	933.7	615.2
1397773714.169	19.055	4831	209	275.099	9.820	34.573	34.573	43.849	9.276	940.4	933.5	615.1
1397773715.168	18.850	4831	209	275.005	9.821	34.577	34.577	43.855	9.278	940.6	933.4	615.1
1397773716.168	18.595	4831	209	274.914	9.818	34.582	34.582	43.860	9.277	940.7	933.3	615.2
1397773717.167	18.301	4831	209	274.746	9.815	34.592	34.592	43.869	9.278	941.1	933.3	615.3
1397773718.169	18.036	4831	209	274.506	9.813	34.603	34.603	43.881	9.277	941.6	933.5	615.3
1397773719.170	17.852	4831	209	274.414	9.814	34.607	34.607	43.885	9.278	942.0	933.5	615.3
1397773720.168	17.760	4831	209	274.123	9.817	34.618	34.618	43.897	9.279	942.4	933.4	615.2
1397773721.182	17.759	4831	209	273.959	9.816	34.626	34.626	43.904	9.278	942.7	933.5	615.2
1397773722.168	17.792	4831	209	273.691	9.821	34.636	34.636	43.914	9.279	942.9	933.3	615.1
1397773723.170	17.821	4831	209	273.495	9.825	34.643	34.643	43.921	9.278	943.1	933.1	615.0
1397773724.170	17.813	4831	209	273.395	9.823	34.648	34.648	43.928	9.280	943.3	933.0	615.0
1397773725.170	17.762	4831	209	273.275	9.826	34.652	34.652	43.932	9.280	943.4	932.9	614.9
1397773726.168	17.642	4831	209	273.013	9.830	34.662	34.662	43.942	9.280	943.5	932.7	614.8
1397773727.167	17.482	4831	209	272.893	9.835	34.665	34.665	43.945	9.281	943.8	932.8	614.6
1397773728.168	17.251	4831	209	272.679	9.835	34.674	34.674	43.953	9.279	944.2	932.8	614.6
1397773729.172	17.010	4831	209	272.562	9.840	34.677	34.677	43.958	9.282	944.5	932.9	614.5
1397773730.169	16.747	4831	209	272.501	9.841	34.679	34.679	43.960	9.282	944.8	932.9	614.4
1397773731.167	16.548	4831	209	272.299	9.850	34.684	34.684	43.965	9.281	945.3	932.9	614.2
1397773732.167	16.411	4831	209	271.902	9.880	34.686	34.686	43.968	9.282	945.6	932.6	613.2
1397773733.169	16.338	4831	209	271.705	9.916	34.677	34.677	43.958	9.281	945.3	932.4	612.1
1397773734.168	16.327	4831	209	271.292	9.949	34.678	34.678	43.960	9.282	945.2	932.0	611.1
1397773735.168	16.347	4831	209	271.096	9.975	34.674	34.674	43.955	9.281	944.9	931.8	610.3
